"city","stateprovincename","country","customerkey","geographykey","maritalstatus","yearlyincome","datefirstpurchase","fullname"
"Colma","California","United States",18561,310,"S","70000.00","2022-12-27","Ms Carol Torres"
"Novato","California","United States",18562,347,"M","60000.00","2022-10-10","Mrs Mary Wright"
"Palo Alto","California","United States",18563,352,"M","60000.00","2022-11-25","Mr Evan Sanchez"
"Grossmont","California","United States",18564,326,"S","40000.00","2022-10-29","Mr John Moore"
"Lebanon","Oregon","United States",18565,543,"M","60000.00","2022-11-22","Mr Dalton Bryant"
"Daly City","California","United States",18566,314,"M","70000.00","2022-12-15","Mr Bryce Peterson"
"San Gabriel","California","United States",18567,361,"S","50000.00","2022-11-16","Ms Madison Barnes"
"El Cajon","California","United States",18568,316,"S","50000.00","2022-11-16","Ms Mya Bennett"
"Salem","Oregon","United States",18569,548,"M","60000.00","2022-02-06","Mrs Emma Bryant"
"Langford","British Columbia","Canada",18570,51,"S","60000.00","2022-03-09","Mr Mason Peterson"
"Vancouver","British Columbia","Canada",18571,68,"S","60000.00","2022-03-19","Mr Cameron Kumar"
"Berkeley","California","United States",18572,299,"M","60000.00","2022-05-12","Mrs Danielle Watson"
"Sooke","British Columbia","Canada",18573,66,"M","60000.00","2022-05-26","Mrs Andrea Phillips"
"Los Angeles","California","United States",18574,338,"M","60000.00","2022-03-29","Mrs Kaitlyn Taylor"
"Downey","California","United States",18575,315,"M","60000.00","2022-10-15","Mrs Erin Stewart"
"Woodland Hills","California","United States",18576,385,"M","60000.00","2022-11-16","Mrs Emily Coleman"
"San Carlos","California","United States",18577,358,"M","60000.00","2022-03-05","Mrs Isabelle Winston"
"Novato","California","United States",18578,347,"S","70000.00","2022-12-10","Mr Patrick Rogers"
"Beaverton","Oregon","United States",18579,536,"M","70000.00","2022-10-28","Mr William Brown"
"Langley","British Columbia","Canada",18580,52,"M","60000.00","2022-04-13","Mrs Emma Anderson"
"Clackamas","Oregon","United States",18581,538,"S","70000.00","2022-12-12","Ms Melinda Dominguez"
"Marysville","Washington","United States",18582,627,"M","70000.00","2022-12-17","Mr Bryan Morgan"
"Redmond","Washington","United States",18583,634,"S","70000.00","2022-02-08","Mr Luis Kumar"
"Seattle","Washington","United States",18584,637,"M","70000.00","2022-03-08","Mrs Haley Evans"
"Bellflower","California","United States",18585,298,"M","70000.00","2022-10-27","Mrs Katherine Blue"
"Grossmont","California","United States",18586,326,"S","80000.00","2022-12-26","Mr Benjamin Patterson"
"Burien","Washington","United States",18587,612,"S","40000.00","2022-10-17","Ms Monica Arun"
"Seattle","Washington","United States",18588,637,"S","40000.00","2022-10-03","Ms Isabella Rogers"
"Bremerton","Washington","United States",18589,611,"S","40000.00","2022-11-15","Ms Anna Stewart"
"Burbank","California","United States",18590,301,"S","80000.00","2022-05-22","Ms Valerie Sun"
"Long Beach","California","United States",18591,337,"M","80000.00","2022-03-06","Mr Eduardo Nelson"
"Milwaukie","Oregon","United States",18592,545,"S","80000.00","2022-11-29","Ms Mackenzie Evans"
"Renton","Washington","United States",18593,635,"S","80000.00","2022-03-04","Ms Sydney Martinez"
"Burbank","California","United States",18594,301,"S","80000.00","2022-12-16","Ms Kristi Garcia"
"Oak Bay","British Columbia","Canada",18595,59,"S","80000.00","2022-10-26","Mr Marcus Hernandez"
"Colma","California","United States",18596,310,"S","60000.00","2022-11-17","Ms Gabriella Cooper"
"Torrance","California","United States",18597,374,"M","60000.00","2022-11-16","Mrs Isabel Perry"
"San Carlos","California","United States",18598,358,"S","40000.00","2022-11-16","Mr Norimichi Yonekura"
"Issaquah","Washington","United States",18599,618,"S","40000.00","2022-05-10","Mr Kyle Simmons"
"Langford","British Columbia","Canada",18600,51,"M","60000.00","2022-05-31","Mrs Ashley Gonzales"
"Coronado","California","United States",18601,312,"S","60000.00","2022-03-18","Ms Cynthia Garcia"
"Imperial Beach","California","United States",18602,329,"M","60000.00","2022-04-10","Mr Patrick Ramirez"
"Metchosin","British Columbia","Canada",18603,53,"S","60000.00","2022-04-04","Ms Gabrielle Henderson"
"Langley","British Columbia","Canada",18604,52,"M","60000.00","2022-02-08","Mrs Paige Alexander"
"Burien","Washington","United States",18605,612,"S","60000.00","2022-11-03","Mr David Wright"
"Port Orchard","Washington","United States",18606,632,"S","60000.00","2022-11-11","Mr Wyatt Green"
"Oregon City","Oregon","United States",18607,546,"S","60000.00","2022-11-26","Ms Katherine Taylor"
"Woodland Hills","California","United States",18608,385,"M","60000.00","2022-11-25","Mr Ian Phillips"
"Portland","Oregon","United States",18609,547,"M","60000.00","2022-11-15","Mrs Alyssa Cook"
"Concord","California","United States",18610,311,"S","70000.00","2022-12-26","Ms Bailey Rivera"
"Salem","Oregon","United States",18611,548,"M","70000.00","2022-12-05","Mrs Taylor Foster"
"Downey","California","United States",18612,315,"S","70000.00","2022-08-20","Ms Alyssa Flores"
"Downey","California","United States",18613,315,"S","70000.00","2022-12-16","Mr Cody Murphy"
"Newport Beach","California","United States",18614,345,"S","70000.00","2022-12-20","Mr Seth Wright"
"West Covina","California","United States",18615,383,"S","70000.00","2022-12-13","Mr Charles Peterson"
"Oakland","California","United States",18616,348,"S","60000.00","2022-11-26","Mr Spencer Butler"
"Shawnee","British Columbia","Canada",18617,65,"S","60000.00","2022-04-12","Mr Carlos Lopez"
"Paris","Seine (Paris)","France",18618,200,"S","10000.00","2023-01-21","Mr Mitchell Rai"
"Salzgitter","Hessen","Germany",18619,135,"M","40000.00","2022-07-13","Mr Dominic Mehta"
"Reading","England","United Kingdom",18620,266,"S","40000.00","2021-11-26","Mr Randall Navarro"
"Wokingham","England","United Kingdom",18621,275,"S","40000.00","2021-11-15","Ms Cassandra Prasad"
"Berks","England","United Kingdom",18622,229,"S","20000.00","2022-11-24","Mr Byron Rubio"
"Metz","Moselle","France",18623,184,"M","20000.00","2022-08-10","Mrs Anne Torres"
"Tremblay-en-France","Seine Saint Denis","France",18624,224,"S","30000.00","2022-03-01","Mr Jay Perez"
"London","England","United Kingdom",18625,244,"S","30000.00","2021-11-13","Mr Derrick Moreno"
"Frankfurt","Bayern","Germany",18626,118,"S","40000.00","2021-06-23","Mr Tony Pal"
"London","England","United Kingdom",18627,245,"S","40000.00","2021-11-26","Ms Kristine Gomez"
"Colomiers","Garonne (Haute)","France",18628,180,"S","10000.00","2022-06-02","Ms Suzanne Yang"
"Newcastle upon Tyne","England","United Kingdom",18629,261,"S","20000.00","2022-08-20","Mr Martin Srini"
"Paris","Seine (Paris)","France",18630,198,"S","20000.00","2022-12-16","Ms Priscilla She"
"York","England","United Kingdom",18631,278,"S","20000.00","2022-12-04","Ms Carly Shan"
"High Wycombe","England","United Kingdom",18632,240,"S","20000.00","2022-02-20","Mr Russell Tang"
"Watford","England","United Kingdom",18633,273,"M","30000.00","2021-11-20","Mr Adam Jenkins"
"Bonn","Nordrhein-Westfalen","Germany",18635,154,"S","40000.00","2022-02-14","Ms Toni Martinez"
"Braunschweig","Nordrhein-Westfalen","Germany",18636,156,"S","40000.00","2022-08-28","Mr Edgar Chapman"
"Metchosin","British Columbia","Canada",18637,53,"S","40000.00","2022-03-30","Mr Thomas Sharma"
"Kirkland","Washington","United States",18638,623,"S","40000.00","2022-11-22","Ms Alyssa Thompson"
"Portland","Oregon","United States",18639,547,"S","40000.00","2022-11-26","Ms Maria Scott"
"Issaquah","Washington","United States",18640,618,"M","30000.00","2022-03-08","Mr Isaac James"
"Cliffside","British Columbia","Canada",18641,49,"S","40000.00","2022-04-06","Mr Cameron Garcia"
"Royal Oak","British Columbia","Canada",18642,62,"S","40000.00","2022-05-29","Ms Brianna Thompson"
"Santa Monica","California","United States",18643,369,"M","110000.00","2022-12-11","Mr Joshua Thomas"
"Cliffside","British Columbia","Canada",18644,49,"S","60000.00","2022-02-14","Ms Carrie Ruiz"
"Olympia","Washington","United States",18645,631,"M","60000.00","2022-11-07","Mr Jordan Bryant"
"Beverly Hills","California","United States",18646,300,"M","60000.00","2022-11-16","Mr Blake Adams"
"Chula Vista","California","United States",18647,307,"S","20000.00","2022-07-06","Ms Christy Huang"
"Burlingame","California","United States",18648,302,"M","30000.00","2022-08-17","Mrs Hailey Torres"
"Woodland Hills","California","United States",18649,385,"S","30000.00","2022-08-19","Mr Jackson Patterson"
"Downey","California","United States",18650,315,"S","30000.00","2022-08-25","Mr Kyle Flores"
"Lynnwood","Washington","United States",18651,626,"M","30000.00","2022-08-11","Mr Isaiah Mitchell"
"Burien","Washington","United States",18652,612,"M","30000.00","2022-06-29","Mrs Meredith Diaz"
"Bremerton","Washington","United States",18653,611,"M","30000.00","2022-09-05","Mr Emmanuel Madan"
"Mill Valley","California","United States",18654,339,"M","40000.00","2022-11-11","Mr Thomas Lopez"
"Kirkland","Washington","United States",18655,623,"M","40000.00","2022-11-28","Mr Eric Diaz"
"Beverly Hills","California","United States",18656,300,"S","30000.00","2022-09-04","Mr Charles Clark"
"Lakewood","California","United States",18657,334,"M","30000.00","2022-04-10","Mr Alex Morgan"
"Spokane","Washington","United States",18658,641,"M","30000.00","2022-07-26","Mr Dalton Turner"
"Los Angeles","California","United States",18659,338,"M","40000.00","2022-05-11","Mrs Jasmine Thompson"
"Coronado","California","United States",18660,312,"M","40000.00","2022-11-16","Mrs Cristina Anand"
"Sedro Woolley","Washington","United States",18661,638,"M","30000.00","2022-10-07","Mr Daniel Walker"
"Daly City","California","United States",18662,314,"M","30000.00","2022-11-09","Mr Kyle Sharma"
"Mill Valley","California","United States",18663,339,"M","30000.00","2022-07-24","Mr Jason Flores"
"Renton","Washington","United States",18664,635,"M","30000.00","2022-02-02","Mr Robert Long"
"Burien","Washington","United States",18665,612,"M","30000.00","2022-08-01","Mrs Olivia Brooks"
"Lynnwood","Washington","United States",18666,626,"S","30000.00","2022-06-27","Ms Jordyn Henderson"
"Berkeley","California","United States",18667,299,"S","30000.00","2022-10-02","Ms Kelli Ma"
"Lake Oswego","Oregon","United States",18668,542,"M","30000.00","2023-01-24","Mr Brian Sanders"
"Palo Alto","California","United States",18669,352,"M","40000.00","2022-08-08","Mr Adam Griffin"
"Beverly Hills","California","United States",18670,300,"M","40000.00","2022-11-10","Mrs Melanie Bryant"
"San Carlos","California","United States",18671,358,"M","80000.00","2022-03-08","Mrs Melanie Kelly"
"Torrance","California","United States",18672,374,"M","80000.00","2022-08-22","Mr Anthony Lewis"
"Beverly Hills","California","United States",18673,300,"M","80000.00","2022-07-10","Mr James Green"
"Westminster","British Columbia","Canada",18674,70,"S","80000.00","2022-05-27","Ms Isabelle Bennett"
"Grossmont","California","United States",18675,326,"M","60000.00","2022-04-14","Mrs Abigail Martin"
"Lynnwood","Washington","United States",18676,626,"M","60000.00","2022-05-05","Mr Jesse Young"
"Cliffside","British Columbia","Canada",18677,49,"M","60000.00","2022-02-03","Mr Logan Shan"
"Spring Valley","California","United States",18678,372,"S","60000.00","2022-06-15","Mr Sean Watson"
"Renton","Washington","United States",18679,635,"S","50000.00","2022-11-20","Mr Seth Wood"
"Bellflower","California","United States",18680,298,"M","40000.00","2022-11-03","Mr David Shan"
"Lemon Grove","California","United States",18681,335,"M","40000.00","2022-03-24","Mrs Jacqueline Griffin"
"Lincoln Acres","California","United States",18682,336,"M","40000.00","2022-09-26","Mrs Emily Bennett"
"Santa Cruz","California","United States",18683,368,"M","40000.00","2022-06-07","Mr Robert Walker"
"Spring Valley","California","United States",18684,372,"M","60000.00","2022-11-13","Mrs Makayla Watson"
"Newton","British Columbia","Canada",18685,55,"M","60000.00","2022-07-20","Mr Sean Rogers"
"Port Hammond","British Columbia","Canada",18686,60,"S","60000.00","2022-03-28","Mr Logan Coleman"
"Burlingame","California","United States",18687,302,"M","60000.00","2022-02-09","Mrs Olivia Smith"
"Port Orchard","Washington","United States",18688,632,"M","70000.00","2022-08-16","Mr Antonio Barnes"
"Everett","Washington","United States",18689,616,"M","80000.00","2022-06-08","Mr Miguel Miller"
"Bremerton","Washington","United States",18690,611,"M","40000.00","2022-10-17","Mr Carlos Rivera"
"Springwood","New South Wales","Australia",18704,16,"M","70000.00","2022-03-19","Mrs Lacey Goel"
"East Brisbane","Queensland","Australia",18705,22,"M","70000.00","2022-05-24","Mr Karl Goel"
"Mill Valley","California","United States",18850,339,"M","130000.00","2022-12-05","Mr Ethan Hughes"
"Hobart","Tasmania","Australia",18707,31,"M","110000.00","2022-02-20","Mr Marshall She"
"Geelong","Victoria","Australia",18711,34,"S","70000.00","2022-09-17","Ms Emma Diaz"
"Rockhampton","Queensland","Australia",18712,26,"M","80000.00","2022-03-29","Mr Glenn Guo"
"Newcastle","New South Wales","Australia",18713,10,"M","80000.00","2022-10-27","Mrs Rosa Yang"
"Springwood","New South Wales","Australia",18714,16,"M","80000.00","2022-03-11","Mr Francisco Lopez"
"Hervey Bay","Queensland","Australia",18715,25,"M","60000.00","2022-07-09","Mr Rafael Rai"
"South Melbourne","Victoria","Australia",18717,38,"M","70000.00","2022-08-17","Mrs Cassandra Suri"
"Rhodes","New South Wales","Australia",18719,14,"M","60000.00","2022-04-06","Mr Alberto Suarez"
"Hobart","Tasmania","Australia",18720,31,"M","60000.00","2022-10-10","Mrs Taylor Miller"
"Melbourne","Victoria","Australia",18727,35,"S","60000.00","2022-07-13","Ms Hailey Hernandez"
"Lavender Bay","New South Wales","Australia",18728,6,"M","100000.00","2022-08-21","Mr Roger Luo"
"Malabar","New South Wales","Australia",18730,7,"M","90000.00","2022-10-03","Mr Johnathan Arthur"
"Warrnambool","Victoria","Australia",18732,40,"M","30000.00","2023-01-27","Mr Zachary Jai"
"Gold Coast","Queensland","Australia",18733,23,"S","70000.00","2022-03-01","Mr Rafael Gao"
"Brisbane","Queensland","Australia",18734,20,"S","70000.00","2022-05-04","Ms Barbara Ashe"
"Melbourne","Victoria","Australia",18741,35,"M","30000.00","2022-11-17","Mr Edgar Martinez"
"East Brisbane","Queensland","Australia",18742,22,"M","70000.00","2022-06-27","Mr Don Guo"
"Gold Coast","Queensland","Australia",18743,23,"M","70000.00","2022-04-03","Mr Glenn Xu"
"Rhodes","New South Wales","Australia",18744,14,"M","70000.00","2022-06-04","Mrs April Raje"
"Rockhampton","Queensland","Australia",18745,26,"M","70000.00","2022-08-19","Mrs Brooke James"
"Caloundra","Queensland","Australia",18748,21,"M","10000.00","2023-01-14","Mrs Gabrielle Stewart"
"Newton","British Columbia","Canada",18749,58,"M","30000.00","2022-11-10","Mrs Olivia Stewart"
"La Jolla","California","United States",18750,331,"M","30000.00","2022-09-29","Mrs Alexandra Perry"
"Berkeley","California","United States",18751,299,"S","30000.00","2022-02-15","Ms Kari Schmidt"
"Newport Beach","California","United States",18752,345,"S","40000.00","2022-03-22","Ms Samantha Walker"
"Portland","Oregon","United States",18753,547,"S","40000.00","2022-07-09","Mr James Moore"
"Beverly Hills","California","United States",18754,300,"S","40000.00","2022-03-11","Ms Isabella Mitchell"
"Haney","British Columbia","Canada",18755,50,"S","40000.00","2022-03-26","Mr Christopher Lewis"
"Westminster","British Columbia","Canada",18756,71,"S","40000.00","2022-07-31","Ms Isabella Thompson"
"Bellingham","Washington","United States",18757,609,"M","40000.00","2022-02-08","Mr Frederick Srini"
"Cliffside","British Columbia","Canada",18758,49,"S","30000.00","2022-02-20","Mr Devin Price"
"Sooke","British Columbia","Canada",18759,66,"S","30000.00","2022-05-19","Mr Devin Phillips"
"Downey","California","United States",18760,315,"M","30000.00","2022-02-27","Mrs Morgan Wood"
"Glendale","California","United States",18761,325,"S","30000.00","2022-08-23","Mr Luis Wright"
"Newport Beach","California","United States",18762,345,"M","40000.00","2022-11-17","Mrs Arthur Wilson"
"Malabar","New South Wales","Australia",18763,7,"M","40000.00","2022-05-15","Mrs Julie Chander"
"Redwood City","California","United States",18764,355,"M","40000.00","2022-07-20","Mrs Natalie Scott"
"Yakima","Washington","United States",18765,648,"S","40000.00","2022-10-02","Mr Noah Shan"
"Burbank","California","United States",18770,301,"S","40000.00","2022-08-22","Mr Aaron Hernandez"
"Glendale","California","United States",18771,325,"S","40000.00","2022-10-22","Mr Robert Green"
"Lincoln Acres","California","United States",18772,336,"M","40000.00","2022-06-21","Mrs Julia Hill"
"Lincoln Acres","California","United States",18773,336,"M","40000.00","2022-05-19","Mrs Cassidy Price"
"Woodland Hills","California","United States",18774,385,"S","60000.00","2023-01-26","Mr Justin Flores"
"Oregon City","Oregon","United States",18775,546,"M","40000.00","2022-02-02","Mrs Andrea Bell"
"Lincoln Acres","California","United States",18776,336,"S","30000.00","2022-05-31","Mr Connor Allen"
"Downey","California","United States",18777,315,"S","30000.00","2022-03-14","Mr Richard Clark"
"National City","California","United States",18778,343,"M","30000.00","2022-09-22","Mr Miguel Washington"
"Novato","California","United States",18779,347,"M","30000.00","2022-11-03","Mr Jose Hill"
"Novato","California","United States",18780,347,"S","60000.00","2022-11-04","Mr Evan Carter"
"Spring Valley","California","United States",18781,372,"S","80000.00","2022-12-26","Mr Hunter Lewis"
"Grossmont","California","United States",18782,326,"M","80000.00","2022-12-18","Mr Patrick Reed"
"W. Linn","Oregon","United States",18783,552,"S","80000.00","2022-12-26","Mr Michael Martin"
"Santa Monica","California","United States",18784,369,"M","90000.00","2022-10-15","Mrs Trinity Brooks"
"Port Hammond","British Columbia","Canada",18785,60,"S","110000.00","2022-11-28","Ms Sara Rivera"
"Bellflower","California","United States",18786,298,"S","120000.00","2022-04-03","Mr Dustin Chande"
"Issaquah","Washington","United States",18787,618,"M","80000.00","2022-09-17","Mrs Mya Wood"
"N. Vancouver","British Columbia","Canada",18788,54,"S","90000.00","2022-11-21","Ms Madison Thompson"
"Yakima","Washington","United States",18789,648,"S","110000.00","2022-12-21","Mr Seth Robinson"
"Renton","Washington","United States",18790,635,"M","40000.00","2022-11-18","Mrs Julia Martin"
"Sedro Woolley","Washington","United States",18791,638,"S","40000.00","2022-12-21","Ms Megan Blue"
"W. Linn","Oregon","United States",18792,552,"M","40000.00","2022-11-24","Mrs Gabriella Peterson"
"Warrnambool","Victoria","Australia",18793,40,"M","20000.00","2022-11-24","Mr Angel Cox"
"Long Beach","California","United States",18794,337,"S","60000.00","2022-11-02","Mr Andrew Davis"
"Royal Oak","British Columbia","Canada",18795,62,"S","40000.00","2022-05-08","Mr Nathan Alexander"
"Sydney","New South Wales","Australia",18796,18,"M","10000.00","2022-10-09","Mr Marvin Ruiz"
"Redmond","Washington","United States",18797,634,"S","40000.00","2023-01-21","Mr Evan Murphy"
"Glendale","California","United States",18798,325,"M","60000.00","2022-10-31","Mrs Andrea Allen"
"La Jolla","California","United States",18799,331,"M","60000.00","2022-04-04","Mr Jacob Lewis"
"Lake Oswego","Oregon","United States",18800,542,"M","60000.00","2022-11-06","Mrs Jennifer Phillips"
"Berkeley","California","United States",18801,299,"M","60000.00","2022-10-30","Mrs Dawn Yuan"
"Bremerton","Washington","United States",18802,611,"M","60000.00","2022-11-26","Mr Mario Shen"
"Bremerton","Washington","United States",18803,611,"M","60000.00","2022-12-06","Mr Cedric Zheng"
"Novato","California","United States",18804,347,"M","60000.00","2022-12-16","Mr Aaron Gonzales"
"Beaverton","Oregon","United States",18805,536,"M","50000.00","2023-01-27","Mrs Tracy Simpson"
"Corvallis","Oregon","United States",18806,539,"M","50000.00","2022-11-30","Mrs Kaitlyn Torres"
"Chula Vista","California","United States",18807,307,"S","130000.00","2022-03-27","Mr Spencer Bennett"
"Colma","California","United States",18808,310,"S","70000.00","2022-12-17","Ms Gabrielle Perez"
"Beaverton","Oregon","United States",18809,536,"M","80000.00","2022-04-01","Mr Jason King"
"Burien","Washington","United States",18810,612,"M","60000.00","2022-11-09","Mr Casey Dominguez"
"Oak Bay","British Columbia","Canada",18811,59,"M","80000.00","2022-02-22","Mr Samuel Perry"
"Victoria","British Columbia","Canada",18812,69,"S","80000.00","2022-03-01","Mr Kyle Adams"
"Ballard","Washington","United States",18813,607,"S","90000.00","2023-01-20","Ms Kristy Hernandez"
"Everett","Washington","United States",18814,616,"S","90000.00","2022-07-10","Mr Evan Adams"
"Lynnwood","Washington","United States",18815,626,"M","90000.00","2022-09-20","Mrs Abigail Rogers"
"Oregon City","Oregon","United States",18816,546,"S","90000.00","2022-02-28","Ms Taylor Smith"
"Puyallup","Washington","United States",18817,633,"S","90000.00","2022-12-24","Ms Brittany Russell"
"National City","California","United States",18818,343,"M","130000.00","2022-12-20","Mr Lucas Torres"
"Santa Cruz","California","United States",18819,368,"M","150000.00","2022-12-05","Mrs Miranda Bennett"
"West Covina","California","United States",18820,383,"M","160000.00","2022-07-08","Mrs Alexandria Cook"
"Newton","British Columbia","Canada",18821,55,"S","80000.00","2022-06-14","Mr Juan Morgan"
"Beaverton","Oregon","United States",18822,536,"M","90000.00","2022-08-10","Mr Gregory Ferrier"
"Bellflower","California","United States",18823,298,"S","110000.00","2022-06-06","Mr Russell Xu"
"La Jolla","California","United States",18824,331,"M","120000.00","2022-11-29","Mr Elijah Collins"
"San Carlos","California","United States",18825,358,"M","130000.00","2022-09-09","Mr Brandon Smith"
"Royal Oak","British Columbia","Canada",18826,62,"M","70000.00","2022-03-13","Mrs Allison Stewart"
"Beaverton","Oregon","United States",18827,536,"S","80000.00","2022-12-27","Ms Carmen Raman"
"Everett","Washington","United States",18828,616,"M","80000.00","2022-09-15","Mrs Morgan Wright"
"Issaquah","Washington","United States",18829,618,"S","90000.00","2022-12-03","Mr Jackson Simmons"
"Bellflower","California","United States",18830,298,"M","110000.00","2022-11-17","Mrs Kristine Ortega"
"Bellflower","California","United States",18831,298,"S","110000.00","2022-12-26","Mr Andy Hernandez"
"Redwood City","California","United States",18832,355,"M","130000.00","2022-12-12","Mr Dylan Jackson"
"Lakewood","California","United States",18833,334,"M","60000.00","2022-12-09","Mrs Morgan Baker"
"Edmonds","Washington","United States",18834,614,"M","60000.00","2022-12-28","Mrs Ana Foster"
"El Cajon","California","United States",18835,316,"S","60000.00","2022-01-29","Ms Isabelle Coleman"
"Puyallup","Washington","United States",18836,633,"S","60000.00","2022-03-27","Ms Nicole Cooper"
"Spring Valley","California","United States",18837,372,"M","70000.00","2022-06-05","Mrs Amanda Hernandez"
"Spring Valley","California","United States",18838,372,"M","80000.00","2022-12-17","Mrs Natalie Morris"
"Port Hammond","British Columbia","Canada",18839,60,"M","80000.00","2022-11-10","Mr Don Lee"
"Puyallup","Washington","United States",18840,633,"M","80000.00","2022-11-29","Mrs Alexandria Barnes"
"Shawnee","British Columbia","Canada",18841,63,"M","40000.00","2022-05-02","Mrs Gabriella Campbell"
"Victoria","British Columbia","Canada",18842,69,"S","40000.00","2022-05-10","Mr James Gonzalez"
"Beaverton","Oregon","United States",18843,536,"M","50000.00","2022-11-20","Mr Luis Perez"
"Renton","Washington","United States",18844,635,"S","50000.00","2022-06-21","Mr Dalton Hernandez"
"Tacoma","Washington","United States",18845,642,"M","60000.00","2022-04-22","Mrs Katherine Hughes"
"Walla Walla","Washington","United States",18846,644,"S","60000.00","2023-01-03","Mr Deb Hughes"
"Woodburn","Oregon","United States",18847,553,"M","60000.00","2022-08-19","Mrs Ariana Richardson"
"Berkeley","California","United States",18848,299,"M","70000.00","2022-12-13","Mr Christian Harris"
"Port Orchard","Washington","United States",18849,632,"S","100000.00","2022-12-03","Ms Faith Flores"
"Long Beach","California","United States",18851,337,"M","80000.00","2022-12-12","Mr Dalton Cook"
"Port Hammond","British Columbia","Canada",18852,60,"M","80000.00","2022-08-08","Mrs Allison Sanders"
"Corvallis","Oregon","United States",18853,539,"M","80000.00","2022-04-26","Mrs Jacqueline Gray"
"Kirkland","Washington","United States",18854,623,"M","60000.00","2022-12-19","Mr Hunter Turner"
"N. Vancouver","British Columbia","Canada",18855,54,"S","60000.00","2022-05-19","Mr Robert Zhang"
"Palo Alto","California","United States",18856,352,"M","60000.00","2022-12-23","Mr Thomas Green"
"Edmonds","Washington","United States",18857,614,"M","60000.00","2022-12-20","Mr Sebastian Sanders"
"Lincoln Acres","California","United States",18858,336,"S","60000.00","2022-12-19","Mr Miguel Parker"
"Royal Oak","British Columbia","Canada",18859,62,"M","60000.00","2022-06-18","Mrs Olivia Henderson"
"Renton","Washington","United States",18860,635,"M","70000.00","2022-12-06","Mrs Sydney Foster"
"Ballard","Washington","United States",18861,607,"M","70000.00","2022-10-10","Mrs Ashley Wood"
"Beverly Hills","California","United States",18862,300,"M","70000.00","2022-12-04","Mr Luke Zhang"
"West Covina","California","United States",18863,383,"S","70000.00","2022-12-20","Mr Charles Scott"
"San Gabriel","California","United States",18864,361,"M","70000.00","2022-12-05","Mr Elijah Long"
"Kirkland","Washington","United States",18865,623,"M","60000.00","2022-12-12","Mrs Ashley Hayes"
"Concord","California","United States",18866,311,"M","60000.00","2022-12-12","Mr Miguel Scott"
"Milwaukie","Oregon","United States",18867,545,"M","40000.00","2022-12-03","Mr Thomas Perry"
"Long Beach","California","United States",18868,337,"S","40000.00","2022-11-29","Mr Adam Long"
"National City","California","United States",18869,343,"M","40000.00","2022-11-30","Mrs Ashley Flores"
"Beaverton","Oregon","United States",18870,536,"M","40000.00","2023-01-21","Mrs Ana Barnes"
"Burnaby","British Columbia","Canada",18871,43,"M","60000.00","2022-02-04","Mr Ruben Rubio"
"Bremerton","Washington","United States",18872,611,"M","60000.00","2022-10-20","Mr Miguel Severino"
"W. Linn","Oregon","United States",18873,552,"S","60000.00","2022-08-11","Mr Austin Rodriguez"
"Sedro Woolley","Washington","United States",18874,638,"M","60000.00","2022-08-03","Mrs Julia Green"
"Westminster","British Columbia","Canada",18875,71,"M","60000.00","2022-09-03","Mr Devin Watson"
"Beverly Hills","California","United States",18876,300,"M","70000.00","2022-12-15","Mr Luke Chen"
"Berkeley","California","United States",18877,299,"M","80000.00","2022-05-08","Mr Evan Hall"
"Colma","California","United States",18878,310,"M","80000.00","2022-12-01","Mrs Mallory Ramos"
"Colma","California","United States",18879,310,"M","50000.00","2022-11-05","Mr Garrett Morgan"
"Beaverton","Oregon","United States",18880,536,"M","60000.00","2022-10-14","Mr Jarrod Sanchez"
"Oregon City","Oregon","United States",18881,546,"M","70000.00","2022-12-23","Mrs Kimberly James"
"Shawnee","British Columbia","Canada",18882,63,"M","70000.00","2022-11-26","Mr Dalton Hayes"
"Langford","British Columbia","Canada",18883,51,"S","40000.00","2022-03-12","Mr Jonathan Garcia"
"Port Hammond","British Columbia","Canada",18884,60,"S","40000.00","2022-08-16","Mr Bryan Reed"
"Newcastle","New South Wales","Australia",18885,10,"S","20000.00","2022-02-09","Ms Cara Ma"
"Ballard","Washington","United States",18886,607,"S","40000.00","2022-09-26","Mr Donald McDonald"
"Ballard","Washington","United States",18887,607,"S","40000.00","2022-12-27","Ms Kari Hernandez"
"Kirkland","Washington","United States",18888,623,"S","40000.00","2022-04-24","Mr Devin Powell"
"Marysville","Washington","United States",18889,627,"S","40000.00","2022-02-01","Ms Katelyn Murphy"
"Redmond","Washington","United States",18890,634,"M","40000.00","2022-07-17","Mrs Lauren Blue"
"Bellflower","California","United States",18891,298,"M","40000.00","2022-12-31","Mrs Megan James"
"Colma","California","United States",18892,310,"S","60000.00","2022-11-15","Mr Chase Howard"
"Imperial Beach","California","United States",18893,329,"S","60000.00","2022-03-16","Mr Devin White"
"Newport Beach","California","United States",18894,345,"S","70000.00","2022-12-14","Mr Eric Allen"
"Cloverdale","South Australia","Australia",18895,28,"M","10000.00","2022-02-26","Mr Marco Madan"
"Hobart","Tasmania","Australia",18896,31,"M","20000.00","2022-04-19","Mr Jonathan Russell"
"Silverwater","New South Wales","Australia",18897,15,"M","20000.00","2022-09-01","Mr Russell Black"
"Silverwater","New South Wales","Australia",18898,15,"S","20000.00","2022-03-08","Ms Monica Chandra"
"Wollongong","New South Wales","Australia",18901,19,"S","20000.00","2022-06-15","Mr Connor Shan"
